"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2020","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7642288208008","39.8184471130371","513456","66.4","7729.6","1290.2","490.0","580.4","46.4","136.6","245.0","374.2","580.4","971.5","1608.7","2355.9","3897.6","6407.1"
"2020","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.823860168457","83.0398330688477","2284390","13.9","164028.3","1641.6","311.4","531.1","4.7","34.4","122.0","278.1","531.1","1036.5","1829.2","3054.9","5047.4","10527.8"
"2020","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.2262725830078","127.770393371582","774783","2.2","359715.5","1223.3","195.5","353.9","2.8","20.5","73.5","178.3","353.9","732.8","1253.2","2491.3","4308.8","5664.2"
"2020","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.4346313476562","41.7570152282715","1102638","2.8","394988.9","1789.5","290.8","725.8","3.9","25.0","89.1","260.8","725.8","1352.3","2320.7","3745.5","5706.6","8288.8"
"2020","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.618106842041","47.7503242492676","1044343","23.5","44467.4","2859.4","670.7","1454.8","16.2","83.2","231.8","587.0","1454.8","2524.3","4064.1","6595.9","7693.2","11721.5"
"2020","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.4216423034668","55.921443939209","4168024","29.2","142972.6","2352.5","442.8","612.2","11.5","51.0","149.6","322.2","612.2","1211.6","2220.1","4333.2","8267.0","13584.4"
"2020","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.7505264282227","37.2326622009277","1627464","57.7","28182.2","1399.9","359.4","387.4","25.4","84.3","158.5","254.7","387.4","582.5","963.0","1931.4","4829.4","10308.8"
"2020","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0407600402832","33.7070693969727","1201947","35.3","34077.2","2322.0","544.6","840.2","15.4","80.8","207.3","442.8","840.2","1689.1","2803.4","4064.5","7185.2","14495.7"
"2020","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9822731018066","107.6103515625","995700","3.0","329967.4","1576.4","197.1","347.0","2.4","13.3","48.8","136.7","347.0","875.9","1813.9","3129.3","5485.4","8192.6"
"2020","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.268726348877","45.8280296325684","1493453","99.0","15078.4","970.1","490.7","692.3","62.2","162.2","300.3","476.4","692.3","950.5","1243.1","1608.5","2201.8","8684.5"
"2020","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7863235473633","60.5495071411133","3444674","40.1","85923.4","2565.9","755.3","1153.9","40.0","142.7","333.1","668.0","1153.9","1836.7","3307.6","5594.2","8212.5","9736.7"
"2020","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8192138671875","47.235279083252","1223566","68.1","17979.1","2703.0","742.3","1322.1","28.6","112.4","254.4","540.9","1322.1","2255.2","3402.3","5268.7","7916.9","14714.6"
"2020","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9123878479004","30.3114261627197","4951928","2485.5","1992.3","13462.7","9091.2","12447.1","2032.2","5014.9","7397.6","9924.0","12447.1","14742.0","17655.8","21080.8","25269.1","55452.9"
"2020","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7311859130859","47.3149948120117","3487625","71.7","48661.5","6015.8","873.9","1111.5","30.4","93.2","267.1","575.3","1111.5","2000.4","4129.6","7734.2","13753.9","112366.3"
"2020","RUS","643","Russia","Gorno-Altay","RUS.16_1","RU.GA","51.3407135009766","86.2645492553711","218048","2.4","92205.6","684.7","55.1","92.3","0.8","2.1","6.4","26.3","92.3","248.3","461.4","1102.4","2298.4","5934.3"
