age,brazil2000,france2006
5,1.368,1.515
6,1.354,1.453
7,1.329,1.374
8,1.299,1.287
9,1.27,1.203
10,1.248,1.128
11,1.231,1.06
12,1.219,0.999
13,1.215,0.946
14,1.224,0.909
15,1.251,0.92
16,1.297,1.044
17,1.365,1.345
18,1.45,1.799
19,1.545,2.279
20,1.638,2.663
21,1.717,2.908
22,1.773,3.043
23,1.805,3.126
24,1.815,3.198
25,1.805,3.261
26,1.783,3.288
27,1.755,3.255
28,1.722,3.157
29,1.685,3.008
30,1.645,2.83
31,1.601,2.64
32,1.555,2.449
33,1.507,2.264
34,1.459,2.085
35,1.415,1.913
36,1.376,1.754
37,1.338,1.609
38,1.296,1.482
39,1.252,1.37
40,1.21,1.271
