age_1941,pop_1941,sr,age_1951,pop_1951,pop_exp_1951,net
0--4,77135,0.9087,10--14,132870,70093,62777
5--9,85434,0.9573,15-19,170227,81786,88441
10--14,79185,0.9471,20-24,263971,74996,188975
15--19,82603,0.9308,25-29,253964,76887,177077
20--24,126247,0.9223,30-34,195373,116438,78935
25--29,155344,0.9161,35-39,151259,142311,8948
30--34,138843,0.9047,40-44,118383,125611,-7228
35--39,109356,0.885,45-49,76421,96780,-20359
40--44,81626,0.8548,50-54,65897,69774,-3877
45--49,47062,0.8122,55-59,32265,38224,-5959
50--54,36908,0.7535,60-64,22248,27810,-5562
55--59,15134,0.6726,65-69,9655,10179,-524
60+,25094,0.3866,70+,10100,9701,399
All ages,1059911,,Total 10+,1502633,940590,562043
