place_of_birth,year,age,white_male,white_female,non-white_male,non-white_female
New England,1950,0--4,"465,097","445,100","8,419","8,205"
,,5--9,"378,265","361,845","5,421","5,501"
,,10--19,"606,335","591,111","8,827","8,897"
,,20--29,"687,705","713,847","9,076","9,180"
,,30--39,"656,641","694,077","5,783","6,889"
,,40--49,"500,240","523,714","4,350","4,645"
,,50--59,"361,245","390,954","2,890","3,093"
,,60+,"362,988","453,651","2,607","3,018"
,,Total,"4,018,516","4,174,299","47,373","49,428"
,1960,10--14,"467,291","450,248","8,927","8,896"
,,15--19,"368,524","359,141","5,475","5,977"
,,20--29,"567,349","582,993","8,152","9,182"
,,30--39,"691,055","713,429","8,538","10,004"
,,40--49,"653,776","682,354","5,407","6,565"
,,50--59,"473,087","503,744","3,900","4,987"
,,60-69,"297,874","352,718","2,181","2,731"
,,70+,"177,156","261,838","1,419","1,982"
,,Total 10+,"3,696,112","3,906,465","43,999","50,324"
Middle Atlantic,1950,0--4,"1,361,035","1,296,852","98,242","97,273"
,,5--9,"1,116,416","1,075,637","64,469","64,579"
,,10--19,"1,866,222","1,818,508","99,651","100,215"
,,20--29,"2,133,202","2,229,746","78,982","86,718"
,,30--39,"2,121,819","2,225,206","41,922","47,577"
,,40--49,"1,624,536","1,681,813","29,551","29,964"
,,50--59,"1,150,382","1,230,466","16,661","16,323"
,,60+,"1,152,997","1,417,051","13,132","15,172"
,,Total,"12,526,609","12,975,279","442,610","457,821"
,1960,10--14,"1,377,499","1,317,613","108,602","107,210"
,,15--19,"1,088,482","1,072,140","67,947","69,017"
,,20--29,"1,764,197","1,793,472","98,519","111,623"
,,30--39,"2,165,949","2,240,454","88,170","100,782"
,,40--49,"2,091,434","2,162,051","47,906","54,230"
,,50--59,"1,526,770","1,606,187","31,948","35,337"
,,60-69,"935,508","1,107,278","15,998","18,296"
,,70+,"555,382","808,034","8,300","10,299"
,,Total 10+,"11,505,221","12,107,229","467,390","506,794"
East North Central,1950,0--4,"1,522,349","1,458,968","95,249","95,561"
,,5--9,"1,217,854","1,172,615","57,848","56,913"
,,10--19,"1,948,213","1,900,760","78,680","78,983"
,,20--29,"2,043,774","2,119,815","65,659","70,356"
,,30--39,"1,939,167","2,022,797","30,655","32,601"
,,40--49,"1,566,433","1,623,903","20,782","21,793"
,,50--59,"1,280,657","1,335,825","15,722","14,055"
,,60+,"1,552,228","1,785,552","14,673","14,923"
,,Total,"13,070,675","13,420,235","379,268","385,185"
,1960,10--14,"1,534,186","1,472,378","104,305","104,870"
,,15--19,"1,189,741","1,166,323","59,313","61,512"
,,20--29,"1,852,268","1,882,891","78,891","87,249"
,,30--39,"2,088,048","2,128,867","69,358","77,193"
,,40--49,"1,924,846","1,975,389","33,362","35,055"
,,50--59,"1,488,806","1,558,031","22,492","22,761"
,,60-69,"1,066,126","1,215,806","12,560","13,911"
,,70+,"770,381","1,033,195","7,966","9,972"
,,Total 10+,"11,914,402","12,432,880","388,247","412,523"
West North Central,1950,0--4,"743,217","708,317","27,756","27,389"
,,5--9,"615,227","586,858","20,072","20,215"
,,10--19,"1,111,939","1,080,768","32,380","32,635"
,,20--29,"1,194,264","1,230,672","29,316","31,731"
,,30--39,"1,229,910","1,278,431","21,913","23,434"
,,40--49,"1,087,393","1,117,626","18,878","19,767"
,,50--59,"915,609","952,640","15,213","14,650"
,,60+,"985,378","1,114,233","16,887","17,437"
,,Total,"7,882,937","8,069,545","182,415","187,258"
,1960,10--14,"743,690","709,262","28,958","28,910"
,,15--19,"596,680","579,430","19,723","20,548"
,,20--29,"1,029,881","1,055,562","28,795","32,772"
,,30--39,"1,207,170","1,238,912","29,236","32,759"
,,40--49,"1,222,771","1,251,825","21,050","22,449"
,,50--59,"1,038,422","1,085,998","17,205","18,579"
,,60-69,"767,234","871,238","12,572","13,209"
,,70+,"539,680","713,853","8,913","10,491"
,,Total 10+,"7,145,528","7,506,080","166,452","179,717"
South Atlantic,1950,0--4,"912,414","871,509","346,139","343,946"
