orig,dest,year,age,flow
North-West,North-West,1970,1,0
North-East,North-West,1970,1,2350
Center,North-West,1970,1,1687
South,North-West,1970,1,9697
Islands,North-West,1970,1,5139
North-West,North-East,1970,1,2448
North-East,North-East,1970,1,0
Center,North-East,1970,1,1063
South,North-East,1970,1,1560
Islands,North-East,1970,1,689
North-West,Center,1970,1,2097
North-East,Center,1970,1,1183
Center,Center,1970,1,0
South,Center,1970,1,3505
Islands,Center,1970,1,1302
North-West,South,1970,1,4602
North-East,South,1970,1,977
Center,South,1970,1,2105
South,South,1970,1,0
Islands,South,1970,1,746
North-West,Islands,1970,1,2630
North-East,Islands,1970,1,463
Center,Islands,1970,1,779
South,Islands,1970,1,660
Islands,Islands,1970,1,0
North-West,North-West,1970,2,0
North-East,North-West,1970,2,2010
Center,North-West,1970,2,1467
South,North-West,1970,2,9388
Islands,North-West,1970,2,4854
North-West,North-East,1970,2,2320
North-East,North-East,1970,2,0
Center,North-East,1970,2,928
South,North-East,1970,2,1471
Islands,North-East,1970,2,608
North-West,Center,1970,2,1771
North-East,Center,1970,2,1069
Center,Center,1970,2,0
South,Center,1970,2,3353
Islands,Center,1970,2,1255
North-West,South,1970,2,3365
North-East,South,1970,2,736
Center,South,1970,2,1703
South,South,1970,2,0
Islands,South,1970,2,554
North-West,Islands,1970,2,2074
North-East,Islands,1970,2,357
Center,Islands,1970,2,628
South,Islands,1970,2,533
Islands,Islands,1970,2,0
North-West,North-West,1970,3,0
North-East,North-West,1970,3,1350
Center,North-West,1970,3,918
South,North-West,1970,3,7819
Islands,North-West,1970,3,4009
North-West,North-East,1970,3,1510
North-East,North-East,1970,3,0
Center,North-East,1970,3,632
South,North-East,1970,3,1028
Islands,North-East,1970,3,465
North-West,Center,1970,3,1022
North-East,Center,1970,3,653
Center,Center,1970,3,0
South,Center,1970,3,2621
Islands,Center,1970,3,974
North-West,South,1970,3,1887
North-East,South,1970,3,394
Center,South,1970,3,1029
South,South,1970,3,0
Islands,South,1970,3,331
North-West,Islands,1970,3,1300
North-East,Islands,1970,3,203
Center,Islands,1970,3,413
South,Islands,1970,3,312
Islands,Islands,1970,3,0
North-West,North-West,1970,4,0
North-East,North-West,1970,4,1554
Center,North-West,1970,4,1114
South,North-West,1970,4,12704
Islands,North-West,1970,4,6092
North-West,North-East,1970,4,1279
North-East,North-East,1970,4,0
Center,North-East,1970,4,660
South,North-East,1970,4,1675
Islands,North-East,1970,4,675
North-West,Center,1970,4,817
North-East,Center,1970,4,529
Center,Center,1970,4,0
South,Center,1970,4,3476
Islands,Center,1970,4,1321
North-West,South,1970,4,2609
North-East,South,1970,4,504
Center,South,1970,4,1221
South,South,1970,4,0
Islands,South,1970,4,438
North-West,Islands,1970,4,1766
North-East,Islands,1970,4,280
Center,Islands,1970,4,527
South,Islands,1970,4,491
Islands,Islands,1970,4,0
North-West,North-West,1970,5,0
North-East,North-West,1970,5,4732
Center,North-West,1970,5,3762
South,North-West,1970,5,21206
Islands,North-West,1970,5,10072
North-West,North-East,1970,5,2922
North-East,North-East,1970,5,0
Center,North-East,1970,5,2054
South,North-East,1970,5,3757
Islands,North-East,1970,5,1464
North-West,Center,1970,5,2234
North-East,Center,1970,5,1810
Center,Center,1970,5,0
South,Center,1970,5,7310
Islands,Center,1970,5,2770
North-West,South,1970,5,5315
North-East,South,1970,5,1124
Center,South,1970,5,2715
South,South,1970,5,0
Islands,South,1970,5,1323
North-West,Islands,1970,5,3295
North-East,Islands,1970,5,657
Center,Islands,1970,5,1355
South,Islands,1970,5,1554
Islands,Islands,1970,5,0
North-West,North-West,1970,6,0
North-East,North-West,1970,6,4343
Center,North-West,1970,6,3554
South,North-West,1970,6,13103
Islands,North-West,1970,6,6757
North-West,North-East,1970,6,3246
North-East,North-East,1970,6,0
Center,North-East,1970,6,2015
South,North-East,1970,6,2560
Islands,North-East,1970,6,1102
North-West,Center,1970,6,2932
North-East,Center,1970,6,2038
Center,Center,1970,6,0
South,Center,1970,6,5214
Islands,Center,1970,6,2197
North-West,South,1970,6,5210
North-East,South,1970,6,1278
Center,South,1970,6,2680
South,South,1970,6,0
Islands,South,1970,6,1168
North-West,Islands,1970,6,2983
North-East,Islands,1970,6,663
Center,Islands,1970,6,1214
South,Islands,1970,6,1031
Islands,Islands,1970,6,0
North-West,North-West,1970,7,0
North-East,North-West,1970,7,3066
Center,North-West,1970,7,2365
South,North-West,1970,7,7618
Islands,North-West,1970,7,4119
North-West,North-East,1970,7,2980
North-East,North-East,1970,7,0
Center,North-East,1970,7,1436
South,North-East,1970,7,1678
Islands,North-East,1970,7,742
North-West,Center,1970,7,2627
North-East,Center,1970,7,1494
Center,Center,1970,7,0
South,Center,1970,7,3774
Islands,Center,1970,7,1379
North-West,South,1970,7,3836
North-East,South,1970,7,976
Center,South,1970,7,2090
South,South,1970,7,0
Islands,South,1970,7,806
North-West,Islands,1970,7,2097
North-East,Islands,1970,7,483
Center,Islands,1970,7,786
South,Islands,1970,7,676
Islands,Islands,1970,7,0
North-West,North-West,1970,8,0
North-East,North-West,1970,8,1909
Center,North-West,1970,8,1382
South,North-West,1970,8,5082
Islands,North-West,1970,8,2794
North-West,North-East,1970,8,2240
North-East,North-East,1970,8,0
Center,North-East,1970,8,940
South,North-East,1970,8,980
Islands,North-East,1970,8,429
North-West,Center,1970,8,1724
North-East,Center,1970,8,1013
Center,Center,1970,8,0
South,Center,1970,8,2531
Islands,Center,1970,8,934
North-West,South,1970,8,2204
North-East,South,1970,8,570
Center,South,1970,8,1482
South,South,1970,8,0
Islands,South,1970,8,455
North-West,Islands,1970,8,1322
North-East,Islands,1970,8,266
Center,Islands,1970,8,503
South,Islands,1970,8,389
Islands,Islands,1970,8,0
North-West,North-West,1970,9,0
North-East,North-West,1970,9,1468
Center,North-West,1970,9,1077
South,North-West,1970,9,4353
Islands,North-West,1970,9,2211
North-West,North-East,1970,9,1683
North-East,North-East,1970,9,0
Center,North-East,1970,9,732
South,North-East,1970,9,811
Islands,North-East,1970,9,348
North-West,Center,1970,9,1257
North-East,Center,1970,9,794
Center,Center,1970,9,0
South,Center,1970,9,2042
Islands,Center,1970,9,763
North-West,South,1970,9,1477
North-East,South,1970,9,380
Center,South,1970,9,1070
South,South,1970,9,0
Islands,South,1970,9,312
North-West,Islands,1970,9,887
North-East,Islands,1970,9,189
Center,Islands,1970,9,388
South,Islands,1970,9,273
Islands,Islands,1970,9,0
North-West,North-West,1970,10,0
North-East,North-West,1970,10,1163
Center,North-West,1970,10,840
South,North-West,1970,10,3426
Islands,North-West,1970,10,1731
North-West,North-East,1970,10,1346
North-East,North-East,1970,10,0
Center,North-East,1970,10,622
South,North-East,1970,10,598
Islands,North-East,1970,10,253
North-West,Center,1970,10,942
North-East,Center,1970,10,604
Center,Center,1970,10,0
South,Center,1970,10,1608
