age_1970,phl_pop_1960,phl_pop_1970,phl_census_sr,pop_1960,pop_1970,pop_exp_1970,net
0--4,,2871594,,,85870,,-236
5--9,,2893681,,,83054,,-8938
10--14,2218377,2478426,1.11722489,80275,79489,89685,-10196
15--19,2114832,2096954,0.991546373,70875,101410,70276,31134
20--24,1669435,1624113,0.972851893,63250,90410,61533,28877
25--29,1429547,1271238,0.889259325,85618,56055,76137,-20082
30--34,1264441,1063783,0.841306949,75793,44648,63765,-19117
35--39,1000981,958013,0.95707411,60037,36963,57460,-20497
40--44,791473,752922,0.951292085,34813,28873,33117,-4244
45--49,725906,656332,0.904155634,31927,23678,28867,-5189
50--54,552585,513635,0.929513107,24297,19063,22584,-3521
55--59,508045,404713,0.796608568,20207,14484,16097,-1613
60--64,344745,302336,0.876984438,13714,10205,12027,-1822
65--69,235536,196716,0.83518443,9366,6405,7822,-1417
70--74,199118,141689,0.711583081,7921,3746,5636,-1890
75+,369795,207990,0.562446761,11114,4779,6251,-1472
All ages,13424816,18434135,,589207,689132,551258,-40224
