year,age,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain States,Pacific ,Total
1950,0--4,442577,7651,1831,719,3451,679,830,533,1730,460001
1950,5--9,354131,10417,1966,628,3735,558,794,352,1342,373983
1950,10--19,557607,27256,5488,1600,3635,969,949,414,1494,599412
1950,20--29,576161,43041,13035,5647,9078,3578,3507,1691,2730,658468
1950,30--39,540315,44449,8259,4439,5734,2197,2162,1487,1552,610594
1950,40--49,402369,35463,5980,2922,3527,1130,969,732,934,454026
1950,50--59,287577,26284,4796,2479,2560,873,682,535,535,326321
1950,60+,287486,28537,5306,2481,2390,775,400,339,516,328230
1950,All,3448223,223158,46661,20915,34110,10759,10293,6083,10833,3811035
1960,10--14,417069,17077,4376,1313,5578,960,1413,819,2687,451292
1960,15--19,314048,24133,6934,2361,6160,1417,1703,845,2141,359742
1960,20--29,448711,51282,16789,7448,11480,4753,4467,1997,3482,550409
1960,30--39,545014,50274,13122,5921,9685,3878,3746,1472,2345,635457
1960,40--49,517564,49548,9675,4745,5822,2013,2131,1371,1787,594656
1960,50--59,373051,35502,6182,2900,3326,1049,974,744,820,424548
1960,60--69,231804,22344,3953,1971,1982,785,495,386,459,264179
1960,70+,137265,14583,2741,1652,1368,415,203,222,267,158716
1960,10+,2984526,264743,63772,28311,45401,15270,15132,7856,13998,3438999
