year0,orig_reg,dest_reg,flow
1960,Africa,Africa,1377791
1960,Africa,Eastern Asia,5952
1960,Africa,Eastern Europe & Central Asia,7303
1960,Africa,Europe,919252
1960,Africa,Latin America & Caribbean,15796
1960,Africa,Northern America,82463
1960,Africa,Oceania,32825
1960,Africa,Southern Asia,35603
1960,Africa,Western Asia,106580
1960,Eastern Asia,Africa,37301
1960,Eastern Asia,Eastern Asia,1271026
1960,Eastern Asia,Eastern Europe & Central Asia,23164
1960,Eastern Asia,Europe,172491
1960,Eastern Asia,Latin America & Caribbean,52415
1960,Eastern Asia,Northern America,403484
1960,Eastern Asia,Oceania,64673
1960,Eastern Asia,Southern Asia,104967
1960,Eastern Asia,Western Asia,36163
1960,Eastern Europe & Central Asia,Africa,6385
1960,Eastern Europe & Central Asia,Eastern Asia,906
1960,Eastern Europe & Central Asia,Eastern Europe & Central Asia,2931336
1960,Eastern Europe & Central Asia,Europe,263800
1960,Eastern Europe & Central Asia,Latin America & Caribbean,1039
1960,Eastern Europe & Central Asia,Northern America,8094
1960,Eastern Europe & Central Asia,Oceania,12505
1960,Eastern Europe & Central Asia,Southern Asia,187
1960,Eastern Europe & Central Asia,Western Asia,275895
1960,Europe,Africa,96449
1960,Europe,Eastern Asia,13482
1960,Europe,Eastern Europe & Central Asia,327500
1960,Europe,Europe,2263329
1960,Europe,Latin America & Caribbean,202213
1960,Europe,Northern America,362501
1960,Europe,Oceania,304539
1960,Europe,Southern Asia,3173
1960,Europe,Western Asia,104978
1960,Latin America & Caribbean,Africa,17042
1960,Latin America & Caribbean,Eastern Asia,4200
1960,Latin America & Caribbean,Eastern Europe & Central Asia,25722
1960,Latin America & Caribbean,Europe,545016
1960,Latin America & Caribbean,Latin America & Caribbean,481975
1960,Latin America & Caribbean,Northern America,1092295
1960,Latin America & Caribbean,Oceania,25412
1960,Latin America & Caribbean,Southern Asia,842
1960,Latin America & Caribbean,Western Asia,28279
1960,Northern America,Africa,15815
1960,Northern America,Eastern Asia,8247
1960,Northern America,Eastern Europe & Central Asia,314647
1960,Northern America,Europe,383319
1960,Northern America,Latin America & Caribbean,71436
1960,Northern America,Northern America,119395
1960,Northern America,Oceania,19251
1960,Northern America,Southern Asia,655
1960,Northern America,Western Asia,92383
1960,Oceania,Africa,1844
1960,Oceania,Eastern Asia,2776
1960,Oceania,Eastern Europe & Central Asia,8341
1960,Oceania,Europe,23453
1960,Oceania,Latin America & Caribbean,1385
1960,Oceania,Northern America,13338
1960,Oceania,Oceania,29804
1960,Oceania,Southern Asia,291
1960,Oceania,Western Asia,2308
1960,Southern Asia,Africa,59303
1960,Southern Asia,Eastern Asia,41831
1960,Southern Asia,Eastern Europe & Central Asia,10155
1960,Southern Asia,Europe,185673
1960,Southern Asia,Latin America & Caribbean,1308
1960,Southern Asia,Northern America,67165
1960,Southern Asia,Oceania,14007
1960,Southern Asia,Southern Asia,917964
1960,Southern Asia,Western Asia,168379
1960,Western Asia,Africa,62110
1960,Western Asia,Eastern Asia,4744
1960,Western Asia,Eastern Europe & Central Asia,121651
1960,Western Asia,Europe,300772
1960,Western Asia,Latin America & Caribbean,8097
1960,Western Asia,Northern America,24350
1960,Western Asia,Oceania,8886
1960,Western Asia,Southern Asia,3069
1960,Western Asia,Western Asia,380325
1965,Africa,Africa,1639928
1965,Africa,Eastern Asia,11119
1965,Africa,Eastern Europe & Central Asia,9993
1965,Africa,Europe,885402
1965,Africa,Latin America & Caribbean,25118
1965,Africa,Northern America,181310
1965,Africa,Oceania,75797
1965,Africa,Southern Asia,39370
1965,Africa,Western Asia,208426
1965,Eastern Asia,Africa,28247
1965,Eastern Asia,Eastern Asia,1666519
1965,Eastern Asia,Eastern Europe & Central Asia,18219
1965,Eastern Asia,Europe,67224
1965,Eastern Asia,Latin America & Caribbean,10217
1965,Eastern Asia,Northern America,365738
1965,Eastern Asia,Oceania,57770
1965,Eastern Asia,Southern Asia,75838
1965,Eastern Asia,Western Asia,20583
1965,Eastern Europe & Central Asia,Africa,6552
1965,Eastern Europe & Central Asia,Eastern Asia,12879
1965,Eastern Europe & Central Asia,Eastern Europe & Central Asia,2551992
1965,Eastern Europe & Central Asia,Europe,360052
1965,Eastern Europe & Central Asia,Latin America & Caribbean,1829
1965,Eastern Europe & Central Asia,Northern America,22227
1965,Eastern Europe & Central Asia,Oceania,25406
1965,Eastern Europe & Central Asia,Southern Asia,227
1965,Eastern Europe & Central Asia,Western Asia,191375
1965,Europe,Africa,226812
1965,Europe,Eastern Asia,148070
1965,Europe,Eastern Europe & Central Asia,465977
1965,Europe,Europe,2536170
1965,Europe,Latin America & Caribbean,250816
1965,Europe,Northern America,572696
1965,Europe,Oceania,570030
1965,Europe,Southern Asia,11323
1965,Europe,Western Asia,90907
1965,Latin America & Caribbean,Africa,18179
1965,Latin America & Caribbean,Eastern Asia,187112
1965,Latin America & Caribbean,Eastern Europe & Central Asia,27351
1965,Latin America & Caribbean,Europe,478546
1965,Latin America & Caribbean,Latin America & Caribbean,519349
1965,Latin America & Caribbean,Northern America,1566498
1965,Latin America & Caribbean,Oceania,71007
1965,Latin America & Caribbean,Southern Asia,664
1965,Latin America & Caribbean,Western Asia,6317
1965,Northern America,Africa,7183
1965,Northern America,Eastern Asia,137500
1965,Northern America,Eastern Europe & Central Asia,249201
1965,Northern America,Europe,244293
1965,Northern America,Latin America & Caribbean,52380
1965,Northern America,Northern America,47403
1965,Northern America,Oceania,37819
1965,Northern America,Southern Asia,562
1965,Northern America,Western Asia,43190
1965,Oceania,Africa,2846
1965,Oceania,Eastern Asia,16169
1965,Oceania,Eastern Europe & Central Asia,4350
1965,Oceania,Europe,9683
1965,Oceania,Latin America & Caribbean,1043
1965,Oceania,Northern America,13067
1965,Oceania,Oceania,54665
1965,Oceania,Southern Asia,598
1965,Oceania,Western Asia,745
1965,Southern Asia,Africa,100402
1965,Southern Asia,Eastern Asia,93604
1965,Southern Asia,Eastern Europe & Central Asia,4256
1965,Southern Asia,Europe,179770
1965,Southern Asia,Latin America & Caribbean,1186
1965,Southern Asia,Northern America,96285
1965,Southern Asia,Oceania,19620
1965,Southern Asia,Southern Asia,438045
1965,Southern Asia,Western Asia,173041
1965,Western Asia,Africa,115487
1965,Western Asia,Eastern Asia,7368
1965,Western Asia,Eastern Europe & Central Asia,161452
1965,Western Asia,Europe,349756
1965,Western Asia,Latin America & Caribbean,20351
1965,Western Asia,Northern America,74145
1965,Western Asia,Oceania,31761
1965,Western Asia,Southern Asia,18985
1965,Western Asia,Western Asia,652164
1970,Africa,Africa,2088719
1970,Africa,Eastern Asia,9908
1970,Africa,Eastern Europe & Central Asia,15273
1970,Africa,Europe,1426024
1970,Africa,Latin America & Caribbean,44945
1970,Africa,Northern America,304024
1970,Africa,Oceania,88342
1970,Africa,Southern Asia,25792
1970,Africa,Western Asia,491186
1970,Eastern Asia,Africa,10484
1970,Eastern Asia,Eastern Asia,1850349
1970,Eastern Asia,Eastern Europe & Central Asia,30831
1970,Eastern Asia,Europe,241634
1970,Eastern Asia,Latin America & Caribbean,22111
1970,Eastern Asia,Northern America,757367
1970,Eastern Asia,Oceania,111526
1970,Eastern Asia,Southern Asia,29846
1970,Eastern Asia,Western Asia,53742
1970,Eastern Europe & Central Asia,Africa,1207
1970,Eastern Europe & Central Asia,Eastern Asia,1175
1970,Eastern Europe & Central Asia,Eastern Europe & Central Asia,2070643
1970,Eastern Europe & Central Asia,Europe,145228
1970,Eastern Europe & Central Asia,Latin America & Caribbean,291
1970,Eastern Europe & Central Asia,Northern America,6675
1970,Eastern Europe & Central Asia,Oceania,1788
